code,facet,name,value_type,allowed_values,component,work_package,applicability_on,dependence_group,dependence_scope,definition,exemplar
MC1,mechanism,mitigation mechanism,nominal,allocation|spreading|pooling,risk-pooling,WP1,.NA,.NA,.NA,Harris's three-way distinction (2023): allocation assigns the risk to a named party by contract; spreading transfers it to third parties for a premium; pooling mutualises it among stakeholders with no outsider. The sort key of this census.,The characteristic on which Harris's own open question turns - under which conditions was risk spread as opposed to pooled or allocated. QUERIED 2026-08-16: the three values are not exclusive and do not partition; see logbook 1 and logbook 4.
MB1,membership,membership basis,nominal,kinship|locality|occupation|confession|contract|territorial-subject,none,none,.NA,.NA,.NA,Ground on which a participant belongs to the pool.,.NR
MB2,membership,entry restriction,ternary,1|P|0,none,none,.NA,.NA,.NA,Membership is closed or numerically restricted (1 = restricted).,.NR
MB3,membership,participation basis,nominal,voluntary|compulsory,risk-pooling,WP1,.NA,.NA,.NA,"Whether participation is chosen or imposed. Theoretically loaded: if pooling raises each participant's time-average growth rate, compulsion demands an explanation, and the non-excludability of the pooled good is the usual one.",.NR
CN1,contribution,contribution timing,nominal,ex-ante-periodic|ex-ante-lump|ex-post-assessment,risk-pooling,WP1,.NA,.NA,.NA,When contributions fall due. ex-post-assessment is the general-average pattern (contribute after the loss); ex-ante is the fund pattern.,.NR
CN2,contribution,contribution basis,nominal,equal|proportional-to-stake|proportional-to-capacity,loss-sharing,WP1,.NA,.NA,.NA,How each member's contribution is measured.,.NR
CN3,contribution,contribution enforceability,ternary,1|P|0,loss-sharing,WP1,.NA,.NA,.NA,Non-payment can be compelled or sanctioned (1 = enforceable).,.NR
HZ1,hazard,hazard correlation,nominal,idiosyncratic|covariate|mixed,risk-pooling,WP1,.NA,.NA,.NA,"Correlation of the hazard across members, which sets the sign of the pooling. Idiosyncratic hazards diversify; covariate hazards synchronise and can make the pool worse than no pool.",.NR
HZ2,hazard,hazard responsiveness,ternary,1|P|0,risk-pooling,WP1,.NA,.NA,.NA,"The hazard responds to the defence mounted against it (1 = adversarial, e.g. an enemy fleet; 0 = indifferent, e.g. a storm).",.NR
PY0,payout,pool output,nominal,collective-good|individual-indemnity|individual-draw,risk-pooling,WP1,MC1,.NA,.NA,"What the pool actually produces. collective-good: the fund buys something non-excludable for all members (convoy escort, city walls) and no individual draws on it. individual-indemnity: a member is compensated for a realised loss. individual-draw: a member receives the pot by rotation, lot or auction irrespective of loss. PY1-PY3 presuppose an individual payout and are inapplicable where PY0 is collective-good.","The distinction the first coded form (averia_pool) forced, since PY1 as originally written silently assumed distribution."
PY1,payout,payout trigger,nominal,realised-loss|life-event|rotation|need-assessed,risk-pooling,WP1,PY0,.NA,.NA,What entitles a member to draw on the pool.,.NR
PY2,payout,allocation rule,nominal,rotation-lot|rotation-fixed|auction|indemnity|need-assessed,risk-pooling,WP1,PY0,.NA,.NA,How the draw is allocated among eligible members. Meaningful only where PY1 does not already determine it.,.NR
PY3,payout,payout cap,ternary,1|P|0,outcome-coupling,WP1,PY0,.NA,.NA,The draw is capped independently of the loss suffered (1 = capped).,.NR
LS1,loss-residual,loss-sharing rule,nominal,pro-rata|equal|capped|residual-on-fund,loss-sharing,WP1,.NA,.NA,.NA,How an unmet loss is distributed once the pool is exhausted or insufficient.,.NR
LS2,loss-residual,residual claim on fund,ternary,1|P|0,outcome-coupling,WP1,.NA,.NA,.NA,Members hold a claim on the fund's surplus (1 = yes).,.NR
LS3,loss-residual,liability beyond contribution,ternary,1|P|0,owner-shielding,WP1,.NA,.NA,.NA,"A member can be pursued beyond what he has contributed or agreed to contribute (1 = exposed, 0 = shielded). The participant-side barrier question, and the direct analogue of AP3 in organizational_forms.",.NR
VF1,verification,loss verification mode,nominal,communal-attestation|official-adjudication|documentary|none,none,none,.NA,verification,conditional,HOW a claimed loss is established - the MODE ONLY. Split from the object of verification on 2026-08-13; before that this characteristic silently asked two questions and the values below answer only the first. See VF2 for WHAT is established. Bears on whether the coupling can operate at all; candidate for promotion to outcome-coupling once forms separate it from PY1.,"The split rests on discriminant-validity evidence in Campbell & Fiske's sense: across five forms one mode takes three objects and one object takes three modes, and in friendly_society_england a communal mode carries a dual object within a single form."
VF2,verification,verification object,nominal,loss-occurrence|claimant-need|claimant-fault|conduct-compliance|mixed,none,none,VF1,verification,conditional,"WHAT is established before payment, as distinct from how. loss-occurrence: that the defined misfortune happened or persists. claimant-need: that the claimant has been reduced to want, irrespective of the event. claimant-fault: that the misfortune did not arise from the claimant's own misconduct. conduct-compliance: that the claimant is observing the conditions of relief while drawing it. mixed: two or more of these at once. Ontologically dependent on VF1 - an object of verification presupposes that verification occurs - so VF2 is .NA wherever VF1 is 'none'.","Added 2026-08-13 as the repair of a conflation, not as added resolution: the motivating evidence is in the VF1 notes of guild_box_brabant, guild_box_dutch, guild_relief_england, craft_pension_edinburgh and friendly_society_england, and in logbook 4."
GV1,governance,governance mode,nominal,collective|elder-fixed|external-administered,none,none,.NA,.NA,.NA,Locus of decision-making over the fund.,.NR
DR1,duration,pool duration,nominal,single-event|fixed-cycle|open-ended,none,none,.NA,.NA,.NA,Intended life of the arrangement. A rotating association completes a cycle; a levy runs indefinitely.,.NR
DR2,duration,terminal distribution,nominal,on-completion|on-default|perpetual|none,none,none,DR1,.NA,.NA,What happens to the fund at dissolution. Meaningful only where DR1 is not open-ended.,.NR
