code,name,tradition,period,key_source,cooccurs_with,cooccurrence_basis
waqf_khayri,Waqf (charitable),Islamic,8c onward,Kuran 2011; Cizakca 2000,.NR,.NR
waqf_ahli,Waqf (family),Islamic,8c onward,Kuran 2011,.NR,.NR
ie,Ie (household),Japanese,12c onward,vault: The ie as entity-shielding,.NR,.NR
compagnia,Compagnia,Tuscan (Florentine),13-15c,"SCOPE, WRITTEN 2026-08-31 PER LOGBOOK 2 OF THAT DATE: the FLORENTINE term-limited contractual partnership with a subscribed corpo di compagnia and a sopraccorpo of deposits above it. TRADITION NARROWED FROM 'Italian (Latin)' TO 'Tuscan (Florentine)' BY MS ON 2026-08-31; SIENA IS OUT OF SCOPE, for the reason recorded under LR1 below. NOT the generic 'medieval Italian partnership' of the comparative literature, and NOT the Venetian compa(g)nia, which means a short-term joint venture. WHERE A SOURCE USES compagnia GENERICALLY - Hansmann Kraakman & Squire section V throughout, Fleischer & Agstner, Kohn - THE CODER MUST ESTABLISH THAT THE PASSAGE BEARS ON THE TUSCAN CONTRACTUAL FORM BEFORE THE CELL TAKES A VALUE FROM IT, and record that judgement in the cell note. That was done on every HKS-based cell in the 2026-08-31 batch; where it could not be made comfortably - AP1, whose paragraph cites Galgano and Lattes on Italian law generally - the confidence is low and the note says so. ALSO OUT OF SCOPE: the Medici hub-and-spoke holding, in which each branch is a separate partnership with its own constitutive act and its own capital (Sapori 1978, XLIV, XLIV-LXXV; HKS printed 34) - Sapori's own 'dalla compagnia alla holding'. And the societa in accomandita, a distinct form with no row in this census, which from the later fourteenth century supplied the limited liability the compagnia never had (Sapori 1978, XLVI-XLVII).
CODED 2026-08-31 by ai from the vault-blind bundle; unreviewed. 32 cells: 17 substantive, 12 .NR, 3 .NA.
SOURCES ACTUALLY CODED FROM, replacing the previous 'vault: fraterna/compagnia note': Hunt 1994, The Medieval Super-Companies (printed 76-77, 113) from the Peruzzi account books - the row's best source and independent of the legal-historical literature; Sapori 1978, Compagnie e mercanti di Firenze antica (printed XXXVI-XXXVIII, XLIV, XLVI-XLVII, LXXV, XCIII) for unlimited and joint-and-several liability, the corpo, the early contract clauses and the Sienese contrast; English 1988, Enterprise and Liability in Sienese Banking (printed 91-92, 98, 101) for the Sienese material; Hansmann Kraakman & Squire 2006, ECGI Law WP 57/2006 (printed 27-35) for entity shielding, bankruptcy and the household origin.
TWO PROHIBITIONS APPLY TO THIS ROW AND THEY ARE CUMULATIVE. (i) LOGBOOK 2, 2026-08-31: no comparative claim may treat this row and fraterna as two independent cases on any entity-shielding component until they take different values there. (ii) LOGBOOK 1, 2026-08-31: THIS IS A FORM WITH SUB-POOLS - the succursali of the Bardi and Peruzzi (Sapori XXXVII-XXXVIII lists eleven Italian and fourteen foreign branches), each keeping its own books with its own closing date (Hunt 113). The entity locator on LP1, LP2, LP3, AP1, AP2, MG4, FP2 and FP4 is the WHOLE ARRANGEMENT, the recode audit that rule requires has NOT been run, and until it has, no similarity or difference claim on entity-shielding or legal-personality may rest on this row. AP1 is accordingly answered from HKS printed 29-30 and NOT from printed 32, where the shielding is locational and 'each branch of a merchant's business was effectively a distinct entity'; the branch fact has no column and is carried in the AP1 cell note.
CONFIGURATION WORTH A REVIEWER'S ATTENTION: TS1=1 with TS2=fixed-term, against the vocabulary's expectation that 'TS1=1 strongly constrains TS2 toward open'. Hunt printed 76 separates them in terms - the partnerships 'did not dissolve with the death or retirement of a partner' and were 'immediately renewed' on closure, while the contract itself ran one to twelve years. A form whose contract was term-limited and whose business was not.
LR1 IS CODED ON THE FLORENTINE FORM AND SIENA DEPARTS WITHIN THIS ROW'S DECLARED PERIOD AND TRADITION. At the Bonsignori failure the partners obtained from the Nine the right to answer third parties 'non solidalmente', a provision of the costituto of 1310 'non ripetendosi nei costituti posteriori' (Sapori XXXVII); English 91-92 and 98 show the council in 1316-17 allocating Tolomei liability pro rata to capital while holding non-payers jointly liable for the remainder; and the Mercanzia statute of 1342-43 restores the rule - 'Che ciascuno compagno sia tenuto en tutto' (English 101 n.2). Sapori XXXVII draws the contrast the row rests on: at Florence 'si rimase costanti anche per cio che attiene alla struttura giuridica della compagnia, mentre a Siena...'. DECIDED BY MS, 2026-08-31: THE TRADITION FIELD IS TIGHTENED FROM 'Italian (Latin)' TO 'Tuscan (Florentine)' AND SIENA IS PUT OUT OF SCOPE, rather than splitting the row. The alternative considered and rejected was a compagnia_siena row on the standing rule that a type spanning both values of a characteristic must be split (the voc precedent): on present sources it would rest almost entirely on English 1988 and would manufacture agreement on every other cell, which is the begijnhof 1585 situation. FALSIFICATION CONDITION, so this is not a permanent verdict: SPLIT WHEN A SECOND SIENESE SOURCE IS HELD that gives a cell-level value differing from the Florentine one - Senigaglia's edition of the Mercanzia statute (BSSP 14-17, 1907-10), which English cites throughout, is the obvious acquisition. NOTE THE COST OF THE TIGHTENING, WHICH IS REAL: the Sienese evidence at Sapori XXXVII and English 91-92, 98, 101 is now OUT OF SCOPE FOR THE VALUE and is retained in the LR1 cell note as context only. In particular English 1988 - a whole monograph on Sienese liability - drops from being a witness to LR1 to being a witness that the Florentine rule was not universal in Tuscany.
CITATION CAUTION: HKS printed 33-34 report a 1310 Sienese statute restoring pro rata liability and its repeal in 1342, citing English 91-92. English 91-92 is about the Consiglio Generale of November 1316 and January 1317; English 98 mentions statutes of 1312, 1316 and 1319; the 1342-43 Mercanzia statute is at English 101 n.2 and REASSERTS joint liability. HKS's substance survives, their dates and page do not sit together as cited.
WITNESS INDEPENDENCE, THINNER THAN IT LOOKS: HKS printed 29 n.83 cites SAPORI 1955 for the joint-and-several rule, so HKS and Sapori 1978 are one scholar twice on LR1. Hunt 76 and English 101 n.2 are independent of both.
HELD AND NOT READ FOR THIS PASS: Padgett & McLean 2006 and Padgett 2012 on Florentine partnership systems; Kuehn 2008 on Florentine inheritance (the best candidate for a second pass, and the one most likely to bear on the fraterna/compagnia formation contrast); Punta 2018; de Roover 1948 and 1963 (Medici, out of scope). Televantos 2020 is English law c.1780-1830 and supplies analytic vocabulary only.",.NR,.NR
joint_stock,Joint-stock corporation,European,17c onward,Harris 2020,.NR,.NR
nacion_cofradia,Nación (cofradía),Spanish (Habsburg),16-18c,Crespo Solana; Carrasco González,.NR,.NR
natie,Antwerp natie,Low Countries,15c onward,"Asaert, Devos & Suykens",.NR,.NR
kabu_nakama,Kabu-nakama,Japanese (Tokugawa),17-19c,vault: natie/kabu-nakama note,.NR,.NR
commenda,Commenda,Italian (Latin),10-13c,"Harris; vault qirad notes. Extended 2026-08-18: van Doosselaere 2009, 64-68 corroborates AP3, LR1, LR3, LR4, CF1, CF2 and LR6 on the Genoese corpus, and Harris 2007, 11 describes the arrangement in Hansmann-Kraakman-Squire terms as a separate asset pool with 'asymmetric owners' shielding and an asymmetric entity shielding'. (i) DONE 2026-08-18 (ii): AP3 recoded 1 -> 0 and LR1 'limited' -> 'unlimited-several', after AP3 and LR1 were given an explicit locator (the labour-supplying party) and restricted to the venture's third-party creditors. The old values answered CF2's question. (ii) DONE 2026-08-30: the entity questions LP1-LP3, AP1, AP2, AP4, CI1-CI4 were asked and close three - LP1=0 (Harris 13, 'a nexus of contracts', with sole personal liability toward third parties at 10), AP1=P (Harris 11, the 'asymmetric entity shielding'), CI1=common (van Doosselaere 65, term 1's segregation clause). AP4=.NA on the no-founder disposition shared with bazacle_mill, casa_san_giorgio, the maone and partenrederij, WHICH LEAVES isqa AP4=0 AS THE ONLY SUBSTANTIVE AP4 ON A FORM WITH NO FOUNDER - see the adjudications, which recommend deciding AP4's locator on its own and then recoding all seven forms in one pass. The other six are .NR. PAGE CAUTION: Harris 2007 is an unpaginated conference draft and carries no printed page numbers; citations in this repo are to PDF pages, and the existing 'Harris 2007, 9' at AP3, LR1 and commenda_alloc RB2/RB3 points to PDF 10 in the held file. THE ENTITY FACET DOES NOT SEPARATE THIS ROW FROM societas_maris: the pair takes identical values on all ten, two of them on one shared datum. It separates only on LR6 and CF1, both WP1. PAIRED WITH societas_maris, added 2026-08-18 and coded on the same eleven cells. This row covers the UNILATERAL form; the bilateral form is the other row. CF3=bilateral here means TWO PRINCIPALS and is not the literature's 'bilateral commenda' - see the societas_maris CF3 note.",societas_maris;qirad;isqa;commenda_alloc@loss_mitigation_forms,same-institution
societas_maris,Societas maris (the bilateral commenda; Venetian collegantia),Venetian / Genoese,c.1073-early 13c (Venice); 1154-13c (Genoa),"ADDED 2026-08-18 as a new type row - the code did not previously exist in this vocabulary, though it does in loss_mitigation_type.csv, where it is now coded. van Doosselaere 2009, 64-68: the Genoese notarial cartularies, 6,764 commenda ties 1154-1315, 93 per cent of all coded maritime ties. p.65 states the two liability rules side by side - the unilateral investor 'bore all liability for loss' and the traveller 'bore no capital risk', while in the bilateral form, 'often called SOCIETAS IN GENOA', 'the liability for loss was proportional to the respective initial investments'. Contribution ratio customarily one third traveller, two thirds investor; profit split equally. Harris 2007, 9-13; Held 2025, 22 for the Ragusan contracts sharing lucrum and damnum in the same proportions. CODED ON EXACTLY THE ELEVEN CHARACTERISTICS commenda CARRIES, so the pair is comparable cell for cell. It separates on two: LR6 (symmetric against upside-only) and CF1 (P against 1). It agrees on AP3, LR1, LR2, LR3, LR4, LR5, CF2, CF3 and TS2. DISSENT, RECORDED NOT RESOLVED: Pryor 1977, Luzzatto 1961, 119 and van Doosselaere 2009, 65 n.7 all hold unilateral and bilateral commenda to be 'essentially the same agreement', the choice turning on the traveller's wealth. Every one of them reaches that on the PAYOUT, where the economics are identical by construction (the arithmetic is at 65 n.6). None reaches it on the loss. The row is kept separate because both of this project's datasets measure the loss. PERIOD NOTE: loss_mitigation_type.csv gives '10-13c' for the same code. That is probably too early for the Genoese evidence, which van Doosselaere's corpus opens in 1154, and the two rows should be reconciled at review. CROSS-DATASET LINK, WHICH cooccurs_with CANNOT EXPRESS: the same code is coded in loss_mitigation_forms (RB1=RB2=shared). check_vocabularies.py normalises the '@dataset' suffix away and then reads societas_maris@loss_mitigation_forms as a self-reference, so the link is recorded here in prose instead. STILL WANTED: Lopez & Raymond 174-184, where the contracts are translated - it would supply the quoted clause van Doosselaere paraphrases. Coded 2026-08-18; see logbook 2 and logbook 4 for that date. VENETIAN EVIDENCE ADDED 2026-08-18 (ii), and it tightens the period. Merelo-Guervos & Molinari 2025 (10.1007/s13278-025-01460-9, open access), on 381 Venetian contracts 1073-1342 from Morozzo della Rocca & Lombardo, Lombardo & Morozzo della Rocca, Bondi Sebellico and Tiepolo, identify the bilateral form AS the societas maris - 'the merchant supplying one-third of capital with equal profit division', which is exactly van Doosselaere's Genoese rule - and report that 'by the early thirteenth century, bilateral contracts had practically disappeared', the Tiepolo Statutes of 1242 regulating only the unilateral type. That matches van Doosselaere's 'the societas disappeared in the thirteenth century' in Genoa. THE EFFECTIVE WINDOW IS THEREFORE c.1073 TO THE EARLY 13c, NOT THROUGH THE 13c, and the '10-13c' on this row is too generous at the late end where it was suspected of being too generous at the early one. The period field on THIS row is set accordingly; loss_mitigation_type.csv still says '10-13c' and the two should be reconciled at review. ENTITY QUESTIONS ASKED 2026-08-30 and coded on the same ten characteristics as commenda, so the pair remains comparable cell for cell. It agrees with commenda on ALL TEN: LP1=0, AP1=P, CI1=common, AP4=.NA, and .NR on LP2, LP3, AP2, CI2, CI3, CI4. LP1 and AP1 are ONE DATUM SHARED WITH commenda, not two witnesses - Harris 11 describes the family and introduces the bilateral variant only at 12, where the sole stated effect is on profit-splitting - and both carry low confidence here against medium there, on the same reasoning as the 2026-08-18 AP3 and LR1 cells. CI1 is the one cell coded from a sentence naming THIS form: van Doosselaere 65, term 1, 'To the capital received, the traveler might also add his own capital ... in this case, the agreement was called a bilateral commenda' - one merged venture stock. CONSEQUENCE FOR THE DISSENT RECORDED ABOVE: Pryor, Luzzatto and van Doosselaere 65 n.7 hold the two forms 'essentially the same agreement' on the PAYOUT, and this row was kept separate because both datasets measure the LOSS. The entity pass is the first evidence on the third question, entity STRUCTURE, and it finds no difference. NO COMPARATIVE CLAIM MAY TREAT THE PAIR AS TWO INDEPENDENT CASES ON ANY WP2 COMPONENT.",commenda;qirad,same-institution
