record_id,type_id,char_id,value,confidence,articulation,source_ref,source_lang,coder,source_read,reviewed_by,review_status,notes
OF-XXXX-01,chartered_corporation_england,LP1,1,high,articulated,"Harris 2000, 18-19, 33, 98, 141, 146",en,ai,partial,none,unreviewed,"ARTICULATED ON THE CONSTITUTIVE INSTRUMENT'S OWN WORDS. Harris quotes the incorporation clause common to the Trent and Mersey and Staffordshire and Worcestershire acts of 1766 verbatim: 'one body politic and corporate . . . shall have perpetual succession, and shall have a common seal, and by the name shall and may sue and be sued, and also shall and may have power and authority to purchase lands' (98, quoting the preambles to 6 Geo. III c.96 and c.97). 'Body politic and corporate' is the tradition's own term for juridical personhood and it is the phrase the drafters used. General law to the same effect at 18: 'Incorporation involved the creation of a new personality, distinct from that of individual human beings', the dominant common-law conception being 'that of the State- or law-fabricated artificial person'. Measured negatively at 141: the unincorporated company 'was not a body politick and corporate' and 'could not be a corporate entity', because 'only the State, via the Crown or Parliament, could grant corporate status'; and at 146, where the separate entity defeated the Statute of Artificers apprenticeship objection and the five-assignee proviso on patents. SCOPE JUDGEMENT REQUIRED BY THE joint_stock ROW HEADER AND MADE HERE: every passage relied on bears on a CHARTERED entity. 98 is the text of two acts of incorporation; 18-19 is the law of corporations; 141 and 146 state what the unincorporated company lacked BY CONTRAST with the corporation. No cell of this row takes a value from a passage in which 'joint stock company' could mean the unincorporated form."
OF-XXXX-02,chartered_corporation_england,LP2,1,high,articulated,"Harris 2000, 19, 98, 146",en,ai,partial,none,unreviewed,"ARTICULATED. The same quoted 1766 clause confers 'power and authority to purchase lands . . . without incurring any of the penalties or forfeitures of the Statute of Mortmain' (98). General law at 19: 'A corporation could own (in the feudal sense) and convey land, at times with restrictions', the restriction being that only a mortmain licence in the charter or statute let it 'enjoy the privilege of perpetual ownership and exemption from dues'. THE MORTMAIN QUALIFICATION WAS CONSIDERED AND DOES NOT REDUCE THIS TO P: mortmain conditioned the perpetual holding of LAND against feudal dues, not the capacity to hold property in the entity's name, and the 1766 acts grant the licence in the same breath as the power. Corroborated at 145-146, where excise status and patent assignment turn on corporations being 'seen as legal entities separated from their members'. SCOPE: a quoted act of incorporation and the general law of corporations, both chartered."
OF-XXXX-03,chartered_corporation_england,LP3,1,high,articulated,"Harris 2000, 19, 98, 144-145, 165",en,ai,partial,none,unreviewed,"ARTICULATED. 'by the name shall and may sue and be sued' - the quoted 1766 incorporation clause (98), and the same privilege expressly listed in the River Dun act of 1733 (94). General law at 19: 'The corporation did not have to litigate under its members' names, but could sue and be sued, for better or for worse, in its separate personality, in the same manner as individuals.' THE CONTRAST CASE MEASURES THE VALUE: at 144-145 all partners of an unincorporated company had to be joined, one debtor requiring twenty-five separate actions and 300 shareholders able to file 300 defences; at 165 unincorporated companies had to buy a private act to sue in an officer's name, thirty such acts by 1815. SCOPE: the quoted clauses are chartered or statutory instruments; 144-145 and 165 are cited for the contrast they draw, not for a value."
OF-XXXX-04,chartered_corporation_england,AP1,.NR,.NR,.NR,"Harris 2000, whole text; 62-63, 71-72, 80, 129, 131, 192",en,ai,partial,none,unreviewed,"NOT RECORDED, AND THE ABSENCE WAS MEASURED RATHER THAN ASSUMED. AP1 asks whether entity creditors were prioritised over members' personal creditors in entity assets. Across all 349 PDF pages 'priority' occurs 0 times and 'partition' 0 times; 'creditor' occurs 13 times and every occurrence was read - they concern public creditors of the State (62-63, 71-72, 80), the arrest and bankruptcy regime facing an individual debtor (131), a corporation's inability to make further calls to pay its creditors absent an express charter power (129), and the cost book adventurers' unlimited liability to external creditors (192). None asks the ranking question. Harris's four features are legal personality, transferable joint stock, managerial hierarchy and limitation of liability (22, 110); creditor ranking is not among them and he never puts it. THIS IS THE BATCH'S SHARPEST NEGATIVE RESULT AND IT BEARS ON THE CENSUS'S OWN GRID: 'asset partitioning' 0 hits, 'entity shielding' 0, 'Hansmann' 0, 'Kraakman' 0, 'Squire' 0, all measured across the full text. The source acquired as the corrective to this census's HKS-derived rows can neither corroborate nor contradict any of them on AP1, because it does not ask AP1's question. Coding 0 would launder that silence into an asserted absence."
OF-XXXX-05,chartered_corporation_england,AP2,.NR,.NR,.NR,"Harris 2000, 191, 33, 45; whole text",en,ai,partial,none,unreviewed,"NOT RECORDED, AND THE REASON IS EXACTLY THE INCREMENT THE VOCABULARY FLAGS. AP2 has two limbs - members cannot force partition or withdrawal, and members' CREDITORS cannot - and the vocabulary records that AP2 'OVERLAPS CI2 and may be redundant with it - AP2 adds the creditor dimension'. Harris answers the first limb and it is coded at CI2: the cost book adventurer's right to 'relinquish their interest upon written notice and withdraw their share in cash' was 'not available even in the joint-stock company' (191). He never answers the second: no passage asks whether a shareholder's private creditors could reach the corporation's assets or force a division of them, and the whole-text sweep recorded at AP1 applies here unchanged. CARRYING THE CI2 DATUM ACROSS WOULD MAKE AP2 REPORT CI2 AND NOTHING ELSE, which is the redundancy the flag exists to detect; P would misdescribe an evidential gap as a structural half. SUB-POOL TEST (LP1 rule of 2026-08-31 as re-run 2026-09-06, which binds every form added hereafter) RUN ON THE SOURCE'S OWN ENUMERATION: NOT a sub-pool form. Harris's unit is the incorporated company as a whole - it 'traded in only one account', members sharing 'all business activities of the corporation' (33) - with no fund partitioned within it. The one partitioned case he describes, the Russia Company's 'several separate accounts' of 1586-1622 (45), lies before this row's period and is CI1's question, not a partition of a single arrangement."
OF-XXXX-06,chartered_corporation_england,AP3,.NR,.NR,.NR,"Harris 2000, 128-130, 270-271, 265, 282, 285; and 24, 33",en,ai,partial,none,unreviewed,"VOCABULARY GAP, AND IT IS THE SOURCE'S OWN CENTRAL FINDING RATHER THAN A GAP IN THE SOURCE. AP3's value set is 1 | P | 0. Harris denies in terms that the object had that shape in this period: 'it should not be assumed that the seventeenth or eighteenth centuries functioned under the modern perception of limitation of liability as a binary legal feature that a corporation or an era has or lacks. Limited liability in this period should not even be viewed as a continuum, but rather as a matrix with several dimensions' (129), those dimensions being which of three classes of debt, by what enforcement procedure, at what time, up to what portion, and jointly or severally (128-129). THREE FURTHER FACTS EACH INDEPENDENTLY BLOCK A VALUE. (i) The attribute is instrument-dependent, not formal: a corporation could make further calls on members to pay creditors only where 'call-making powers were explicitly given to that corporation in its act or charter of incorporation', and incorporation by Act carried limited liability only 'provided that an explicit clause to that affect was included in the incorporating statute' (129-130). (ii) IT IS EXPRESSLY OPTIONAL AFTER 1825, WHICH IS THE OPPOSITE OF THE TEXTBOOK STORY: section 2 of the repeal act let the Crown 'declare and provide, that the members of such corporation shall be individually liable, in their persons and property, for the debts, contracts and engagements of such corporation' (6 Geo. IV c.92, quoted at 270-271), and its promoters 'envisioned an increase in chartered incorporation, yet in most cases without the privilege of limited liability' (271). (iii) The value would in any case change inside any period this row can claim - absent or incoherent to the 1780s, then 'relatively clear by 1825 that incorporation by charter carried with it limitation on the liability of the shareholders' (130) - and heterogeneity across time is the condition for splitting a row, never for P. SPLITTING DOES NOT RESCUE THE CELL, AND THAT IS THE POINT: on Harris's account owner shielding was at no date in scope an attribute of the FORM, only of the individual charter or act. NON-INDEPENDENCE DECLARED: this reading agrees with Harris 2020 as read on the joint_stock row. That is one author twice and is not corroboration; see the type row, declarations (i) and (iv). THE .NR IS SUSTAINED TO THE ROW'S TERMINAL DATE AND BEYOND, WHICH IS WHY A LATE PHASE WOULD NOT RESCUE IT EITHER. Copley's repeal act of 1825 had exactly two operative clauses, the second 'empowering the King to grant charters without limited liability' (265). Gladstone in 1844 'removed the hotly disputed issue of limited liability from his agenda . . . and left the status quo in this matter untouched' (282). And after the act of 1844 every undertaking that complied 'could offer transferable shares and enjoy a separate legal entity and all the other privileges of incorporation, EXCEPT FOR LIMITED LIABILITY' (285); general limited liability arrives in 1855-1856, outside this row's period. The whole-text sweep behind this cell covered every page of the book containing 'liabilit' or 'liable' that could bear on a chartered entity."
OF-XXXX-07,chartered_corporation_england,AP4,.NA,.NA,.NA,.NA,.NA,ai,.NA,none,unreviewed,"NO FOUNDER. The 2026-08-30 AP4 rule returns .NA where the entity was not constituted by an endowment out of an identifiable founder's patrimony, and names charter among the modes that give .NA: 'a form arising by subscription, charter, merger, conquest, contract or purchase of parts is not a form whose corpus failed to leave a founder's estate'. This form arises by royal charter, letters patent or Act of Parliament over a subscribed joint stock (Harris 2000, 17, 98, 114). Coding 0 would answer a question that was never put. .NA propagated through confidence, articulation, source_ref and source_lang."
OF-XXXX-08,chartered_corporation_england,TS1,1,high,articulated,"Harris 2000, 19, 78, 94, 98",en,ai,partial,none,unreviewed,"ARTICULATED. 'shall have perpetual succession' - the quoted 1766 incorporation clause (98); the same three privileges are expressly listed in the River Dun act of 1733, 'perpetual succession, common seal, and the right to sue and be sued using the corporate name' (94). General law at 19: the corporation's 'legal personality did not terminate with the death of any human individual; it was potentially immortal and subject to dissolution only in a strictly defined manner'. Measured negatively at 78: undertakings not incorporated by charter or act 'could not enjoy the capacities and privileges of corporations as legal entities, including perpetual succession'. Contrast the partnership at 21 and 29, where the death, retirement or bankruptcy of one member ended the arrangement."
OF-XXXX-09,chartered_corporation_england,TS2,open,medium,analyst-imposed,"Harris 2000, 19, 25, 55 n 36, 94, 98, 113",en,ai,partial,none,unreviewed,"OPEN. TS1=1 constrains TS2 toward open and the evidence is direct: perpetual succession in the constitutive instruments (94, 98), potential immortality at 19, and the East India Company's movement 'from ad hoc per voyage capital (1-3 years, invested in specific ships), to capital for limited duration (8-15 years), and finally to permanent and continuous capital' (25), which is the endpoint the form carries into this row's period. AGAINST IT, AND CARRIED RATHER THAN CODED: the incorporation FRANCHISE was often term-limited - 'The State could, at will, withhold an incorporation franchise which, in many cases, was of limited duration' (113) - and the moneyed companies bought charter extensions (55 n 36). That is a term on the grant, not on the arrangement; the renewals were sought precisely to continue an undertaking with no internal end date. Confidence medium because Harris nowhere states the horizon as such and the value is assembled."
OF-XXXX-10,chartered_corporation_england,TS3,0,medium,analyst-imposed,"Harris 2000, 18, 19, 21, 113, 260 n 29, 271",en,ai,partial,none,unreviewed,"NOT REVOCABLE AT WILL. The corporation was 'subject to dissolution only in a strictly defined manner' (19). No member could unwind it: the contrast Harris draws with the partnership is that there the death, retirement or change of status 'of even one of its members signaled the end of the partnership' (21), and in the corporation it did not. THE SOVEREIGN'S POWER IS REAL AND IS NOT AT WILL: 'Unauthorized corporations could be dissolved and abused charters could be forfeited by the court' through quo warranto and scire facias (18) - forfeiture for cause, on judicial process. Eldon in 1825 held 'that if a company acted improperly a charter could be withdrawn immediately, whereas a company formed by an act could be deprived of its incorporation only by a repealing act' (260 n 29, and see 271); again for cause. Non-renewal of a term-limited franchise (113) is a refusal to continue, not a power to dissolve. ADJUDICATION FOR THE MAINTAINER: on a charter-only reading of the row Eldon's asymmetry would push toward P; the row as scoped includes companies incorporated by Act, the asymmetry is then heterogeneity across instruments rather than half-presence, and 0 holds."
