record_id,type_id,char_id,value,confidence,articulation,source_ref,source_lang,coder,source_read,reviewed_by,review_status,notes
LM-0512,bodemerij_amsterdam,MC1,spreading,high,articulated,"Winkelman 1983 (RGP GS 184/185/186), nrs 946-962, 1991-2005, 3227-3242; Inleiding",nl,ai,partial,none,unreviewed,"The opgeld is a price paid for carrying the peril: 'mitsgaders noch 34 gelijcke gld. ten hondert tot opgelt ende voor 't aventuyr van der zee' (no. 948), in the same words in all 36 contracts. Not pooling - no mutualisation, no fund. Not bare allocation - a premium is paid. Winkelman's Inleiding states the transfer: the borrower wishes 'het eigen risico te beperken en tot het bedrag van de lening over te dragen aan de uitlener'. QUALIFICATION: in nos 1993, 3236 and 3237 the lender is the freighter or charterer of the same ship, so the peril-taker is not always an outsider to the venture."
LM-0513,bodemerij_amsterdam,HZ1,mixed,medium,articulated,"Winkelman 1983 (RGP GS 184/185/186), nrs 946-962, 1991-2005, 3227-3242; Inleiding",nl,ai,partial,none,unreviewed,"Perils named in the acts run from idiosyncratic to covariate. Storm and wreck ('verongelucken', nos 3231, 3232, 3240, 3242) fall on one ship. Seizure is fleet-wide: no. 956 names 'nemen, ranchioneren ende beschadigen van Duynkerckers oft andere zeerovers'; nos 3232, 3234, 3235 'rovers oft andere piraten'; nos 3240 and 3242 'nemen, blijven, houwen, kerven, werpen, ransoeneren, haverije grosse ende alle anderen periculen'. No. 3237 prices the closing of the Danzig pontcamer, a seasonal covariate event. Coded mixed because one figure prices both kinds."
LM-0514,bodemerij_amsterdam,HZ2,P,medium,articulated,"Winkelman 1983 (RGP GS 184/185/186), nrs 946-962, 1991-2005, 3227-3242; Inleiding",nl,ai,partial,none,unreviewed,"The form spans both, as general_average's HZ2 does. Storm is indifferent to the defence mounted; privateers and pirates are not, and the corpus shows the defence being bought - the ship in no. 1995 is 'gemonteert zijnde met 6 gootelingen ende 4 steenstucken', and the protest at no. 1992 records part-owners disputing 'den coop van seeckere geschut' bought for the voyage without the common owners' knowledge. P is a structural half-presence, not a hedge: both hazard kinds sit inside the same priced clause."
LM-0515,bodemerij_amsterdam,LS3,1,medium,articulated,"Winkelman 1983 (RGP GS 184/185/186), nrs 946-962, 1991-2005, 3227-3242; Inleiding",nl,ai,partial,none,unreviewed,"Exposure beyond the pledged thing is expressly stipulated in eight of the 36 contracts - 'mitsgaders zijn persoon ende alle sijne goederen voorn. ende toecommende, egeene uitgesondert' (no. 952; likewise 951, 1991, 1993, 3229, 3232, 3234, 3239) - and no. 1991 adds three sureties bound 'als principaele' renouncing beneficium excussionis et ordinis. The protests act on it: nos 959 and 960 threaten recovery on 'die personen van den voorn. schipper ende sijn reders ende alle haere andere goederen'. MEDIUM not high: the remaining contracts name only the special pledge, which is .NR on the general question and NOT 0; and no. 1996 records a debtor denying general recourse on a cargo bodemerij - 'alsoo immers geen reeden is dat hij hem verder behoort te verbinden. Temeer dewijle de rogge hem alleen is verbonden bij de bodemerijebrieff.' STRAIN: LS3 is worded for a 'member' of a pool; this is a bilateral covenant."
LM-0516,bodemerij_amsterdam,VF1,.NR,.NR,.NR,"Winkelman 1983 (RGP GS 184/185/186), nrs 946-962, 1991-2005, 3227-3242; Inleiding",nl,ai,partial,none,unreviewed,"Not recorded, and the silence is worth a row. In 46 acts - 36 contracts and 10 protests - no loss at sea is ever claimed, proved or adjudicated. All ten protests concern non-payment, non-acceptance or deviation, never a shipwreck. The verification machinery the corpus does show is documentary but establishes the wrong fact for this characteristic: the bodemerijbrief drawn in three identical originals with a separate advysbrief (no. 960), exhibition of the letter by the notary, formal insinuation at the debtor's house. How a lender's discharge on total loss was actually established cannot be read from this corpus and must not be inferred from the discharge clause."
LM-0517,bodemerij_amsterdam,VF2,.NR,.NR,.NR,"Winkelman 1983 (RGP GS 184/185/186), nrs 946-962, 1991-2005, 3227-3242; Inleiding",nl,ai,partial,none,unreviewed,"Dependent on VF1, which is .NR rather than 'none', so this is .NR and not .NA: the corpus does not show that verification was absent, only that it is not recorded. See LM-0516."
LM-0518,bodemerij_amsterdam,DR1,single-event,medium,articulated,"Winkelman 1983 (RGP GS 184/185/186), nrs 946-962, 1991-2005, 3227-3242; Inleiding",nl,ai,partial,none,unreviewed,"Thirty of the 36 contracts run for one named voyage and end 'ter plaetse 't schip sijn rechte last sal commen te breecken, wel heynder maer niet verder te seylen' - the standing formula. Six do not: no. 962 runs a whole year with free navigation to Bremen, the Eider, Norway and the Baltic; nos 3229 and 3231 for three months and upward, the ship free to sail 'Oost, West, Suyden ende Noorden'; nos 1999, 2003 and 3239 run per month until repaid, no. 1999 expressly allowing early repayment with opgeld pro rata. Coded on the majority. The six time-based acts are a floating credit on the ship at sea-risk rather than a voyage bottomry; flagged in logbook 4 as a candidate form, not split here."
LM-0519,bodemerij_amsterdam,DR2,on-completion,high,articulated,"Winkelman 1983 (RGP GS 184/185/186), nrs 946-962, 1991-2005, 3227-3242; Inleiding",nl,ai,partial,none,unreviewed,"Principal and opgeld fall due together 8, 10, 12, 14 or 16 days after the ship's arrival, the interval named in each act. Nothing survives the voyage."
LM-0520,bodemerij_amsterdam,RB1,capital-provider,medium,articulated,"Winkelman 1983 (RGP GS 184/185/186), nrs 946-962, 1991-2005, 3227-3242; Inleiding",nl,ai,partial,none,unreviewed,"The money runs 'op 't recht aventuyr van der zee' in every act and the lender loses advance and opgeld together if the pledge is lost; Winkelman's Inleiding states it flatly - 'De geldgever verbeurt de lening en het opgeld als het onderpand verloren gaat.' THIS IS WHAT SEPARATES THE FORM FROM marine_insurance, where RB1 is third-party: here the peril-bearer has advanced the capital and his exposure is bounded by it, so the value of ship or cargo above the advance stays with the owner. MEDIUM not high: six acts push toward 'shared' - in nos 956, 3232, 3234, 3235, 3240 and 3242 the lender bears partial loss pro rata alongside the borrower, 'penninck ponts gelijck', and not only on total loss."
LM-0521,bodemerij_amsterdam,RB2,capital-provider,medium,.NR,"Winkelman 1983 (RGP GS 184/185/186), nrs 946-962, 1991-2005, 3227-3242; Inleiding",nl,ai,partial,none,unreviewed,"Market risk stays with the borrower: the opgeld is a fixed figure that does not move with the price the cargo fetches, and no act makes repayment conditional on a sale. WARNING ON THE LABEL: 'capital-provider' here denotes the BORROWER - owner of ship or goods - whereas at RB1 the same value denotes the LENDER. A secured loan has two capital providers, and RB1/RB2's role labels presuppose a single capital-labour axis, so the pair cannot be read off one another. Flagged in logbook 4 as a locator ambiguity in Sereno's sense; NOT repaired here and no characteristic added. Contrary evidence: at no. 1994 an acceptor offered to sell the pledged goods and pay over only the net proceeds 'sooverre 'tselve suyver provenu sal commen te strecken' - but he was protested against for it, so that was a refused accommodation, not the contract's term."
