code,name,tradition,period,key_source
averia_pool,Avería (compulsory convoy levy),Spanish / Carrera de Indias,1521-1681,"Hierro Anibarro 2005; vault: asiento notes"
general_average,General average (jettison contribution),Mediterranean / lex Rhodia,antiquity onward,.NR
ko_mujin,Kō / mujin (rotating credit and mutual finance),Japanese,.NR,.NR
huiguan,Huiguan (native-place association mutual fund),Chinese,16c onward,.NR
gongsi,Gongsi / kongsi (shared-profit mutual venture),Chinese,18c onward,.NR
huf,Joint Hindu family (HUF),South Asian,.NR,"BOUNDARY DOUBT: arguably a capital-vehicle rather than a hazard-pool; retained here provisionally, revisit once coded"
tontine,Tontine,European,17c onward,.NR
confraternity_fund,Confraternity / burial and sickness fund,Latin Christendom,13c onward,.NR
avariz_fund,Avarız-hane fund (Ottoman communal levy),Ottoman,16c onward,.NR
guild_mutual_aid,Guild mutual-aid chest,European / Japanese,.NR,.NR
