code,facet,name,value_type,allowed_values,component,work_package,applicability_on,dependence_group,dependence_scope,definition,locator
LP1,legal-personality,juridical personhood,ternary,1|P|0,legal-personality,WP2,.NA,legal-personhood,conditional,"Entity is a legal person distinct from its members. LP1-LP3 usually move together but are demonstrably separable: waqf_khayri codes LP1=0 with LP2=P and LP3=P. LOCATOR TERM FIXED 2026-08-31, AND THE FIX IS TO THE TERM, NOT TO THIS COLUMN. 'entity' is the locator on eight columns - LP1, LP2, LP3, AP1, AP2, MG4, FP2, FP4 - and was defined nowhere. IT MEANS THE WHOLE ARRANGEMENT AS THE TYPE ROW SCOPES IT: the pool named by the form's own constitutive instrument, charter, contract or custom as the thing the members are members of. INTERNALLY PARTITIONED SUB-POOLS ARE NOT ENTITIES for locator purposes, even where they keep their own books and even where creditors' reach was in practice confined to them - the medieval branch rule, Hansmann Kraakman & Squire 2006, printed 32, 'each branch of a merchant's business was effectively a distinct entity'. Where the sub-pool IS what the type row scopes - a parten arrangement whose unit is one ship, a single-venture pool - it is the whole arrangement and the rule returns it with no special case. THE TEST WAS DISCRIMINANT VALIDITY (Campbell & Fiske; CHARACTER-CODING test 4), as for AP4: read as the sub-pool, AP1 starts predicting CI1=several-accounts, because separate books nearly entail sub-pool priority; read as the arrangement, it stays independent of CI1, CI2 and AP2. SUB-POOL PARTITIONING HAS NO COLUMN and must not be recorded here - carry it in the cell note, never in confidence. A characteristic for it was considered and NOT proposed; see logbook 1, 2026-08-31. THE RECODE AUDIT THIS RULE REQUIRES HAS BEEN RUN TWICE AND IS CURRENT TO 803 ROWS; THE PROHIBITION THAT STOOD HERE IS DISCHARGED. Run 2026-08-31 at 643 rows: eleven candidate forms enumerated, six returned as non-sub-pool forms, 32 cells examined on voc_1602, voc_1612, voc_1623, compagnia and begijnhof, 2 recoded - begijnhof LP1 1 to 0 and LP2 1 to .NR - and the bar lifted for those five; logbook 1, 2026-08-31 (iii). RE-RUN 2026-09-06 AT 803 ROWS over the five forms added since, because the first run could not bind rows that did not exist: 40 entity-locator cells examined, 29 of them substantive, THREE SUB-POOL FORMS CONFIRMED and TWO NOT, and NO CELL RECODED. Sub-pool: compagnie_antwerpen_1582 and compagnie_antwerpen_1608, whose 'fuori del corpo' clause paid preferential withdrawals from a fund separate WITHIN the general fund of the company; and avariz_vakfi, AGAINST ITS OWN TYPE ROW'S SCOPING - Kivrim 2019, 39, Tablo 1 numbers Ammu as ONE of nine mahalle funds and subdivides it into nine boluk/hane with their own trustees and their own cash, the prose aggregates all nine to a single mahalle total of 857.5 kurus, collection ran by mahalle and Ammu elected ONE vekil, so the source's own enumeration makes the mahalle the arrangement and the boluk a partition of it. Not sub-pool: bruderschaft_salzburg, one association with one Vermoegen reported as a single annual balance; and deed_of_settlement_company, whose trust settles LEGAL TITLE over one undivided joint stock rather than partitioning it - a split of title is not a partition of a pool, and the partners' separate estates lie outside the arrangement and are the very thing AP1 measures against, so reading them as sub-pools would make AP1 predict itself. THE CODING RULE THIS SENTENCE CARRIED IS PERMANENT AND SURVIVES THE AUDIT: a cell the source supports only at sub-pool level is .NR, NOT a value carried over, and sub-pool partitioning is carried in the cell note, never in confidence. EVERY FORM ADDED HEREAFTER MUST BE TESTED WHEN IT IS CODED, and the test is the SOURCE'S OWN ENUMERATION rather than the type row's scoping, which is what the 2026-09-06 re-run changed; see logbook 1, 2026-09-06.",entity
LP2,legal-personality,property in own name,ternary,1|P|0,legal-personality,WP2,.NA,legal-personhood,conditional,"Capacity to hold and own property as the entity. See legal-personhood. LOCATOR TERM FIXED 2026-08-31, AND THE FIX IS TO THE TERM, NOT TO THIS COLUMN. 'entity' is the locator on eight columns - LP1, LP2, LP3, AP1, AP2, MG4, FP2, FP4 - and was defined nowhere. IT MEANS THE WHOLE ARRANGEMENT AS THE TYPE ROW SCOPES IT: the pool named by the form's own constitutive instrument, charter, contract or custom as the thing the members are members of. INTERNALLY PARTITIONED SUB-POOLS ARE NOT ENTITIES for locator purposes, even where they keep their own books and even where creditors' reach was in practice confined to them - the medieval branch rule, Hansmann Kraakman & Squire 2006, printed 32, 'each branch of a merchant's business was effectively a distinct entity'. Where the sub-pool IS what the type row scopes - a parten arrangement whose unit is one ship, a single-venture pool - it is the whole arrangement and the rule returns it with no special case. THE TEST WAS DISCRIMINANT VALIDITY (Campbell & Fiske; CHARACTER-CODING test 4), as for AP4: read as the sub-pool, AP1 starts predicting CI1=several-accounts, because separate books nearly entail sub-pool priority; read as the arrangement, it stays independent of CI1, CI2 and AP2. SUB-POOL PARTITIONING HAS NO COLUMN and must not be recorded here - carry it in the cell note, never in confidence. A characteristic for it was considered and NOT proposed; see logbook 1, 2026-08-31. THE RECODE AUDIT THIS RULE REQUIRES HAS BEEN RUN TWICE AND IS CURRENT TO 803 ROWS; THE PROHIBITION THAT STOOD HERE IS DISCHARGED. Run 2026-08-31 at 643 rows: eleven candidate forms enumerated, six returned as non-sub-pool forms, 32 cells examined on voc_1602, voc_1612, voc_1623, compagnia and begijnhof, 2 recoded - begijnhof LP1 1 to 0 and LP2 1 to .NR - and the bar lifted for those five; logbook 1, 2026-08-31 (iii). RE-RUN 2026-09-06 AT 803 ROWS over the five forms added since, because the first run could not bind rows that did not exist: 40 entity-locator cells examined, 29 of them substantive, THREE SUB-POOL FORMS CONFIRMED and TWO NOT, and NO CELL RECODED. Sub-pool: compagnie_antwerpen_1582 and compagnie_antwerpen_1608, whose 'fuori del corpo' clause paid preferential withdrawals from a fund separate WITHIN the general fund of the company; and avariz_vakfi, AGAINST ITS OWN TYPE ROW'S SCOPING - Kivrim 2019, 39, Tablo 1 numbers Ammu as ONE of nine mahalle funds and subdivides it into nine boluk/hane with their own trustees and their own cash, the prose aggregates all nine to a single mahalle total of 857.5 kurus, collection ran by mahalle and Ammu elected ONE vekil, so the source's own enumeration makes the mahalle the arrangement and the boluk a partition of it. Not sub-pool: bruderschaft_salzburg, one association with one Vermoegen reported as a single annual balance; and deed_of_settlement_company, whose trust settles LEGAL TITLE over one undivided joint stock rather than partitioning it - a split of title is not a partition of a pool, and the partners' separate estates lie outside the arrangement and are the very thing AP1 measures against, so reading them as sub-pools would make AP1 predict itself. THE CODING RULE THIS SENTENCE CARRIED IS PERMANENT AND SURVIVES THE AUDIT: a cell the source supports only at sub-pool level is .NR, NOT a value carried over, and sub-pool partitioning is carried in the cell note, never in confidence. EVERY FORM ADDED HEREAFTER MUST BE TESTED WHEN IT IS CODED, and the test is the SOURCE'S OWN ENUMERATION rather than the type row's scoping, which is what the 2026-09-06 re-run changed; see logbook 1, 2026-09-06.",entity
LP3,legal-personality,capacity to sue,ternary,1|P|0,legal-personality,WP2,.NA,legal-personhood,conditional,"Standing to sue and be sued as an entity. See legal-personhood. LOCATOR TERM FIXED 2026-08-31, AND THE FIX IS TO THE TERM, NOT TO THIS COLUMN. 'entity' is the locator on eight columns - LP1, LP2, LP3, AP1, AP2, MG4, FP2, FP4 - and was defined nowhere. IT MEANS THE WHOLE ARRANGEMENT AS THE TYPE ROW SCOPES IT: the pool named by the form's own constitutive instrument, charter, contract or custom as the thing the members are members of. INTERNALLY PARTITIONED SUB-POOLS ARE NOT ENTITIES for locator purposes, even where they keep their own books and even where creditors' reach was in practice confined to them - the medieval branch rule, Hansmann Kraakman & Squire 2006, printed 32, 'each branch of a merchant's business was effectively a distinct entity'. Where the sub-pool IS what the type row scopes - a parten arrangement whose unit is one ship, a single-venture pool - it is the whole arrangement and the rule returns it with no special case. THE TEST WAS DISCRIMINANT VALIDITY (Campbell & Fiske; CHARACTER-CODING test 4), as for AP4: read as the sub-pool, AP1 starts predicting CI1=several-accounts, because separate books nearly entail sub-pool priority; read as the arrangement, it stays independent of CI1, CI2 and AP2. SUB-POOL PARTITIONING HAS NO COLUMN and must not be recorded here - carry it in the cell note, never in confidence. A characteristic for it was considered and NOT proposed; see logbook 1, 2026-08-31. THE RECODE AUDIT THIS RULE REQUIRES HAS BEEN RUN TWICE AND IS CURRENT TO 803 ROWS; THE PROHIBITION THAT STOOD HERE IS DISCHARGED. Run 2026-08-31 at 643 rows: eleven candidate forms enumerated, six returned as non-sub-pool forms, 32 cells examined on voc_1602, voc_1612, voc_1623, compagnia and begijnhof, 2 recoded - begijnhof LP1 1 to 0 and LP2 1 to .NR - and the bar lifted for those five; logbook 1, 2026-08-31 (iii). RE-RUN 2026-09-06 AT 803 ROWS over the five forms added since, because the first run could not bind rows that did not exist: 40 entity-locator cells examined, 29 of them substantive, THREE SUB-POOL FORMS CONFIRMED and TWO NOT, and NO CELL RECODED. Sub-pool: compagnie_antwerpen_1582 and compagnie_antwerpen_1608, whose 'fuori del corpo' clause paid preferential withdrawals from a fund separate WITHIN the general fund of the company; and avariz_vakfi, AGAINST ITS OWN TYPE ROW'S SCOPING - Kivrim 2019, 39, Tablo 1 numbers Ammu as ONE of nine mahalle funds and subdivides it into nine boluk/hane with their own trustees and their own cash, the prose aggregates all nine to a single mahalle total of 857.5 kurus, collection ran by mahalle and Ammu elected ONE vekil, so the source's own enumeration makes the mahalle the arrangement and the boluk a partition of it. Not sub-pool: bruderschaft_salzburg, one association with one Vermoegen reported as a single annual balance; and deed_of_settlement_company, whose trust settles LEGAL TITLE over one undivided joint stock rather than partitioning it - a split of title is not a partition of a pool, and the partners' separate estates lie outside the arrangement and are the very thing AP1 measures against, so reading them as sub-pools would make AP1 predict itself. THE CODING RULE THIS SENTENCE CARRIED IS PERMANENT AND SURVIVES THE AUDIT: a cell the source supports only at sub-pool level is .NR, NOT a value carried over, and sub-pool partitioning is carried in the cell note, never in confidence. EVERY FORM ADDED HEREAFTER MUST BE TESTED WHEN IT IS CODED, and the test is the SOURCE'S OWN ENUMERATION rather than the type row's scoping, which is what the 2026-09-06 re-run changed; see logbook 1, 2026-09-06.",entity
AP1,asset-partitioning,entity shielding weak,ternary,1|P|0,entity-shielding,WP2,.NA,.NA,.NA,"Entity creditors prioritized over members' personal creditors in entity assets. LOCATOR TERM FIXED 2026-08-31, AND THE FIX IS TO THE TERM, NOT TO THIS COLUMN. 'entity' is the locator on eight columns - LP1, LP2, LP3, AP1, AP2, MG4, FP2, FP4 - and was defined nowhere. IT MEANS THE WHOLE ARRANGEMENT AS THE TYPE ROW SCOPES IT: the pool named by the form's own constitutive instrument, charter, contract or custom as the thing the members are members of. INTERNALLY PARTITIONED SUB-POOLS ARE NOT ENTITIES for locator purposes, even where they keep their own books and even where creditors' reach was in practice confined to them - the medieval branch rule, Hansmann Kraakman & Squire 2006, printed 32, 'each branch of a merchant's business was effectively a distinct entity'. Where the sub-pool IS what the type row scopes - a parten arrangement whose unit is one ship, a single-venture pool - it is the whole arrangement and the rule returns it with no special case. THE TEST WAS DISCRIMINANT VALIDITY (Campbell & Fiske; CHARACTER-CODING test 4), as for AP4: read as the sub-pool, AP1 starts predicting CI1=several-accounts, because separate books nearly entail sub-pool priority; read as the arrangement, it stays independent of CI1, CI2 and AP2. SUB-POOL PARTITIONING HAS NO COLUMN and must not be recorded here - carry it in the cell note, never in confidence. A characteristic for it was considered and NOT proposed; see logbook 1, 2026-08-31. THE RECODE AUDIT THIS RULE REQUIRES HAS BEEN RUN TWICE AND IS CURRENT TO 803 ROWS; THE PROHIBITION THAT STOOD HERE IS DISCHARGED. Run 2026-08-31 at 643 rows: eleven candidate forms enumerated, six returned as non-sub-pool forms, 32 cells examined on voc_1602, voc_1612, voc_1623, compagnia and begijnhof, 2 recoded - begijnhof LP1 1 to 0 and LP2 1 to .NR - and the bar lifted for those five; logbook 1, 2026-08-31 (iii). RE-RUN 2026-09-06 AT 803 ROWS over the five forms added since, because the first run could not bind rows that did not exist: 40 entity-locator cells examined, 29 of them substantive, THREE SUB-POOL FORMS CONFIRMED and TWO NOT, and NO CELL RECODED. Sub-pool: compagnie_antwerpen_1582 and compagnie_antwerpen_1608, whose 'fuori del corpo' clause paid preferential withdrawals from a fund separate WITHIN the general fund of the company; and avariz_vakfi, AGAINST ITS OWN TYPE ROW'S SCOPING - Kivrim 2019, 39, Tablo 1 numbers Ammu as ONE of nine mahalle funds and subdivides it into nine boluk/hane with their own trustees and their own cash, the prose aggregates all nine to a single mahalle total of 857.5 kurus, collection ran by mahalle and Ammu elected ONE vekil, so the source's own enumeration makes the mahalle the arrangement and the boluk a partition of it. Not sub-pool: bruderschaft_salzburg, one association with one Vermoegen reported as a single annual balance; and deed_of_settlement_company, whose trust settles LEGAL TITLE over one undivided joint stock rather than partitioning it - a split of title is not a partition of a pool, and the partners' separate estates lie outside the arrangement and are the very thing AP1 measures against, so reading them as sub-pools would make AP1 predict itself. THE CODING RULE THIS SENTENCE CARRIED IS PERMANENT AND SURVIVES THE AUDIT: a cell the source supports only at sub-pool level is .NR, NOT a value carried over, and sub-pool partitioning is carried in the cell note, never in confidence. EVERY FORM ADDED HEREAFTER MUST BE TESTED WHEN IT IS CODED, and the test is the SOURCE'S OWN ENUMERATION rather than the type row's scoping, which is what the 2026-09-06 re-run changed; see logbook 1, 2026-09-06.",entity
AP2,asset-partitioning,liquidation protection,ternary,1|P|0,entity-shielding,WP2,.NA,capital-immobility,conditional,"Members and their creditors cannot force partition or withdrawal of entity assets. OVERLAPS CI2 and may be redundant with it - AP2 adds the creditor dimension (members' creditors cannot force partition) that CI2 lacks. Flagged for review: candidate for merger rather than grouping. LOCATOR TERM FIXED 2026-08-31, AND THE FIX IS TO THE TERM, NOT TO THIS COLUMN. 'entity' is the locator on eight columns - LP1, LP2, LP3, AP1, AP2, MG4, FP2, FP4 - and was defined nowhere. IT MEANS THE WHOLE ARRANGEMENT AS THE TYPE ROW SCOPES IT: the pool named by the form's own constitutive instrument, charter, contract or custom as the thing the members are members of. INTERNALLY PARTITIONED SUB-POOLS ARE NOT ENTITIES for locator purposes, even where they keep their own books and even where creditors' reach was in practice confined to them - the medieval branch rule, Hansmann Kraakman & Squire 2006, printed 32, 'each branch of a merchant's business was effectively a distinct entity'. Where the sub-pool IS what the type row scopes - a parten arrangement whose unit is one ship, a single-venture pool - it is the whole arrangement and the rule returns it with no special case. THE TEST WAS DISCRIMINANT VALIDITY (Campbell & Fiske; CHARACTER-CODING test 4), as for AP4: read as the sub-pool, AP1 starts predicting CI1=several-accounts, because separate books nearly entail sub-pool priority; read as the arrangement, it stays independent of CI1, CI2 and AP2. SUB-POOL PARTITIONING HAS NO COLUMN and must not be recorded here - carry it in the cell note, never in confidence. A characteristic for it was considered and NOT proposed; see logbook 1, 2026-08-31. THE RECODE AUDIT THIS RULE REQUIRES HAS BEEN RUN TWICE AND IS CURRENT TO 803 ROWS; THE PROHIBITION THAT STOOD HERE IS DISCHARGED. Run 2026-08-31 at 643 rows: eleven candidate forms enumerated, six returned as non-sub-pool forms, 32 cells examined on voc_1602, voc_1612, voc_1623, compagnia and begijnhof, 2 recoded - begijnhof LP1 1 to 0 and LP2 1 to .NR - and the bar lifted for those five; logbook 1, 2026-08-31 (iii). RE-RUN 2026-09-06 AT 803 ROWS over the five forms added since, because the first run could not bind rows that did not exist: 40 entity-locator cells examined, 29 of them substantive, THREE SUB-POOL FORMS CONFIRMED and TWO NOT, and NO CELL RECODED. Sub-pool: compagnie_antwerpen_1582 and compagnie_antwerpen_1608, whose 'fuori del corpo' clause paid preferential withdrawals from a fund separate WITHIN the general fund of the company; and avariz_vakfi, AGAINST ITS OWN TYPE ROW'S SCOPING - Kivrim 2019, 39, Tablo 1 numbers Ammu as ONE of nine mahalle funds and subdivides it into nine boluk/hane with their own trustees and their own cash, the prose aggregates all nine to a single mahalle total of 857.5 kurus, collection ran by mahalle and Ammu elected ONE vekil, so the source's own enumeration makes the mahalle the arrangement and the boluk a partition of it. Not sub-pool: bruderschaft_salzburg, one association with one Vermoegen reported as a single annual balance; and deed_of_settlement_company, whose trust settles LEGAL TITLE over one undivided joint stock rather than partitioning it - a split of title is not a partition of a pool, and the partners' separate estates lie outside the arrangement and are the very thing AP1 measures against, so reading them as sub-pools would make AP1 predict itself. THE CODING RULE THIS SENTENCE CARRIED IS PERMANENT AND SURVIVES THE AUDIT: a cell the source supports only at sub-pool level is .NR, NOT a value carried over, and sub-pool partitioning is carried in the cell note, never in confidence. EVERY FORM ADDED HEREAFTER MUST BE TESTED WHEN IT IS CODED, and the test is the SOURCE'S OWN ENUMERATION rather than the type row's scoping, which is what the 2026-09-06 re-run changed; see logbook 1, 2026-09-06.",entity
AP3,asset-partitioning,owner shielding limited liability,ternary,1|P|0,owner-shielding,WP1,.NA,agent-loss-exposure,conditional,"Members' personal assets shielded from the claims of the VENTURE'S OWN CREDITORS - third parties who dealt with the arrangement - where those claims exceed what the member contributed. LOCATOR FIXED 2026-08-18 TO labour-party, AND IT CHANGES SEVERAL CODINGS. For an entity form 'members' are alike and the question has one answer. For a bilateral capital-labour contract it has two, and they move in opposite directions: in the commenda the investing party's private pool is unreachable by venture creditors while the travelling party's is reachable, which Harris 2007, 11 calls in terms an 'asymmetric owners' shielding'. The locator is the labour-supplying party, because the WP1 owner-shielding component exists to record whether the absorbing barrier is lifted off the INDIVIDUAL who is repeatedly exposed, and that is the agent. NOT THE PRINCIPAL'S CLAIM. Whether the agent bears loss of the principal's capital is CF2's question, and before this repair several rows answered CF2 here - commenda, qirad, isqa and ortoq_equity all reasoned about the principal's capital rather than about venture creditors, which is why the agent-loss-exposure group looked collinear. Where a source addresses only the principal's claim, this cell is .NR, not a value carried over. See logbook 1, 2026-08-18 (ii). Contrast RB1/RB2 in loss_mitigation_forms, which avoid the whole problem by naming the party in the VALUE SET rather than leaving it to a locator.LOCATOR FALLBACK, so the column holds one value: labour-party applies where CF1 is 1 or P; where CF1 is 0, .NA or absent there is no labour-supplying party and the locator reverts to members, who are then alike and give the question one answer. asiento_averia, bazacle_mill, joint_stock and waqf_khayri are unaffected by the 2026-08-18 repair for that reason. WHERE THE PRINCIPAL IS A CREDITOR RATHER THAN A RESIDUAL CLAIMANT THE TWO QUESTIONS COINCIDE and the distinction drawn here does no work: the isqa's investor holds half the advance as a debt and the ortoq_loan principal is a lender, so their claims ARE creditor claims and those rows keep their values. The conflation this repair undoes is only possible where the principal's claim is residual - commenda, qirad, ortoq_equity, societas_maris.",labour-party
AP4,asset-partitioning,separation from founder estate,ternary,1|P|0,entity-shielding,WP2,.NA,.NA,.NA,"The corpus leaves the founder's personal patrimony on constitution. LOCATOR FIXED 2026-08-30 AND DELIBERATELY NOT GENERALISED. Applies ONLY where the entity was constituted by an endowment out of an identifiable founder's patrimony. Where there is no founder the cell is .NA, NOT 0: a form arising by subscription, charter, merger, conquest, contract or purchase of parts is not a form whose corpus failed to leave a founder's estate, and coding 0 there answers a question that was never put. Before this fix the column was not comparable with itself - eight forms answered 'no founder, inapplicable' while isqa, asiento_averia and nakai_fictive_household answered a generalised question on a stretched locator, two of them with notes saying so. GENERALISING THE LOCATOR TO 'the party who supplies the corpus' WAS CONSIDERED AND REJECTED ON DISCRIMINANT VALIDITY (Campbell & Fiske; CHARACTER-CODING test 4). So generalised, AP4 takes no value that AP1 and CI2 do not already predict for entity forms - for a chartered corporation 'the corpus is separate from the members' patrimonies' IS entity shielding, and the voc phases would read 1 three times over while teaching nothing. Founder-locked, AP4 asks what nothing else in this matrix asks: whether a corpus was constituted by ENDOWMENT rather than arrived at by partitioning. That is what makes waqf_khayri and the begijnhof konventen the same kind of thing - a corpus alienated by donation, vested in a body keeping its own accounts, against prayers for the donor's soul - and a generalised AP4 would hide that kinship rather than record it. THE COST IS ACKNOWLEDGED AND MUST BE STATED WHEREVER THIS CHARACTERISTIC IS USED: on present coding AP4 has THREE coded forms and one value between them, so IT HAS NO DISCRIMINATING POWER YET and must not enter a similarity or difference claim on the entity-shielding component until a founder-endowed form takes a value other than 1. The remedy is founder-endowed forms - pious foundations, chantries, the charitable trust - not a wider locator. RECODED 2026-08-30: isqa 0 -> .NA, asiento_averia 1 -> .NA, nakai_fictive_household P -> .NA, begijnhof .NR -> 1. (COUNT CORRECTED 2026-09-08. This read 'two coded forms' from 2026-08-30 until today. The three are avariz_vakfi, begijnhof and waqf_khayri, all coding 1, with .NA on the other 21 - counted over the whole column, not sampled. THE COUNT WAS STALE ON THE DAY IT WAS WRITTEN: the RECODED line below records begijnhof going .NR -> 1 in the very pass that wrote this sentence, so the third instance and the sentence claiming two arrived together. THE PROHIBITION IS UNCHANGED AND IS NOT DISCHARGED BY THIS CORRECTION - a third form at the same value adds a case and not a state, and AP4 still has one value across the column. Predicted by the operator of the 2026-09-07 (ii) batch, missed by that batch's coder, and caught by its end-of-batch sweep; see logbook 4, 2026-09-07 (iii).)",founder
TS1,temporal,perpetual succession,ternary,1|P|0,perpetual-succession,WP2,.NA,duration,conditional,Entity persists across the death or exit of individual members. TS1=1 strongly constrains TS2 toward 'open'; the converse does not hold.,arrangement
TS2,temporal,venture horizon,nominal,open|fixed-term|single-venture,perpetual-succession,WP2,.NA,duration,conditional,Intended duration of the arrangement. See duration.,arrangement
TS3,temporal,revocability,ternary,1|P|0,perpetual-succession,WP2,.NA,.NA,.NA,Dissolvable or unwindable at will by a party (1 = revocable).,arrangement
