record_id,type_id,char_id,value,confidence,articulation,source_ref,source_lang,coder,source_read,reviewed_by,review_status,notes
LM-B001,sea_loan,MC1,allocation,medium,analyst-imposed,"Costa & Albuquerque 2025 (10.1017/S0212610925100797), 2, 7",en,ai,full,.NR,unreviewed,"Blind re-coding 2026-08-16, logbook 4 §2026-08-13 (iv). OBJECTION REGISTERED, NOT A HEDGE. Bilateral, named counterparty, no fund. But the lender is also a party with no operational stake paid an ex-ante premium, which is MC1=spreading as defined; the two values are not exclusive. Roman conception makes the lender a venture stakeholder (maritime interest read as profit-share, Benincasa 2011 (10.21697/ZP.2011.11.1.06) 100) = allocation; Portuguese 1600-1800 lenders lay off through separate marine insurance (Costa & Albuquerque 2025 (10.1017/S0212610925100797), 11, 13) = spreading. The census sort key does not partition here."
LM-B002,sea_loan,MB1,.NA,.NA,.NA,.NA,.NA,ai,.NA,.NR,unreviewed,"Blind re-coding 2026-08-16, logbook 4 §2026-08-13 (iv). No pool and no membership. Coding 'contract' would launder a bilateral counterparty into a member."
LM-B003,sea_loan,MB2,.NA,.NA,.NA,.NA,.NA,ai,.NA,.NR,unreviewed,"Blind re-coding 2026-08-16, logbook 4 §2026-08-13 (iv). No membership."
LM-B004,sea_loan,MB3,.NA,.NA,.NA,.NA,.NA,ai,.NA,.NR,unreviewed,"Blind re-coding 2026-08-16, logbook 4 §2026-08-13 (iv). No membership."
LM-B005,sea_loan,CN1,.NA,.NA,.NA,.NA,.NA,ai,.NA,.NR,unreviewed,"Blind re-coding 2026-08-16, logbook 4 §2026-08-13 (iv). No contributions; the principal is a loan, not a levy."
LM-B006,sea_loan,CN2,.NA,.NA,.NA,.NA,.NA,ai,.NA,.NR,unreviewed,"Blind re-coding 2026-08-16, logbook 4 §2026-08-13 (iv). No contributions."
LM-B007,sea_loan,CN3,.NA,.NA,.NA,.NA,.NA,ai,.NA,.NR,unreviewed,"Blind re-coding 2026-08-16, logbook 4 §2026-08-13 (iv). No contributions."
LM-B008,sea_loan,HZ1,.NA,.NA,.NA,.NA,.NA,ai,.NA,.NR,unreviewed,"Blind re-coding 2026-08-16, logbook 4 §2026-08-13 (iv). No members across whom to correlate. NOTE: the hazard IS strongly covariate for a lender holding a book of voyages, and that covariance is what prices the instrument (Costa & Albuquerque 2025 (10.1017/S0212610925100797), 10: Brazil rates 50 pct 1624 to 135 pct 1637-39 with the Dutch war). HZ1 as written is pool-shaped and cannot record it."
LM-B009,sea_loan,HZ2,P,medium,analyst-imposed,"Costa & Albuquerque 2025 (10.1017/S0212610925100797), 2, 8, 11-12; Pontoriero 2011 (10.30682/sg257)",en,ai,full,.NR,unreviewed,"Blind re-coding 2026-08-16, logbook 4 §2026-08-13 (iv). Mixed peril bundle, so P is structural. Storm and shipwreck are indifferent (Pontoriero 2011 (10.30682/sg257)); corsairs, 'enemies, and false friends' are adversarial (Costa & Albuquerque 2025 (10.1017/S0212610925100797), 2, 8). Costa & Albuquerque 2025 (10.1017/S0212610925100797), 11-12 records the response: borrowers capitulating rather than fighting, since discharge follows either way."
LM-B010,sea_loan,PY0,.NA,.NA,.NA,.NA,.NA,ai,.NA,.NR,unreviewed,"Blind re-coding 2026-08-16, logbook 4 §2026-08-13 (iv). No pool, so no pool output. DIAGNOSTIC: PY0 has applicability_on=.NA but is .NA here because of MC1. Undeclared ontological dependence; PY0.applicability_on should be MC1. See report 3.2."
