record_id,type_id,char_id,value,confidence,articulation,source_ref,source_lang,coder,source_read,reviewed_by,review_status,notes
OF-XXXX-01,deed_of_settlement_company,LP1,0,high,analyst-imposed,"Televantos 2020, 18, 43-46, 150",en,ai,partial,none,unreviewed,"A partnership was not a legal entity and so could not own property (18); the courts throughout the period refused to treat deed-of-settlement companies as anything other than partnerships (43-46); 'Partnerships do not have legal personality' (150). ENTITY LOCATOR, 2026-08-31 RULE: the entity is the company as the deed of settlement scopes it - the joint stock the shareholder-partners are members of - and NOT the body of trustees. Televantos writes that the trustees 'acted as the legal personality for the firm' (38); that is a functional substitute supplied by a device inside the arrangement, not personhood in the arrangement, and reading the trustees as the entity would make LP1-LP3 answer a question about three named individuals rather than about the company. The trust fund is NOT a sub-pool for locator purposes - it is the whole arrangement's circulating assets - so the sub-pool exclusion does not bite on this row."
OF-XXXX-02,deed_of_settlement_company,LP2,0,high,analyst-imposed,"Televantos 2020, 18, 37-38",en,ai,partial,none,unreviewed,"The company could not own property. Legal title to the circulating trade assets was settled on a fixed body of trustees, and the shareholder-partners were equitable co-owners of the joint stock, no partner being able to claim any particular asset of the firm as his own (18, 37-38). The capacity that fails is capacity in the COMPANY, which had none; the trustee device is how the arrangement worked around that, and it is recorded here rather than coded. Entity locator as at LP1."
OF-XXXX-03,deed_of_settlement_company,LP3,P,medium,analyst-imposed,"Televantos 2020, 38, 48-50, 172",en,ai,partial,none,unreviewed,"STRUCTURAL HALF, NOT A HEDGE, AND THE CELL A REVIEWER SHOULD LOOK AT FIRST. At common law the deed of settlement provided that the firm's litigation be conducted in the trustees' names alone, and this worked: the trustees held legal title to company property and to the debts owed the business and could sue on them in their own names 'without reference to the fluctuating body of shareholder-partners' (38; Metcalf v Bruin (1810), Lord Ellenborough CJKB). In Chancery it failed: joinder required every shareholder-partner as a party, Lord Eldon would not routinely dispense with it, and these companies 'could not reliably sue or be sued in Chancery' (50). Televantos's own summary is that 'a company could not sue in its own name, rather than that of its shareholders or trustees, without an Act of Parliament' (172). Read as the trustees the cell is 1; read as the company 0; read as the whole arrangement, which is what the 2026-08-31 locator rule requires, it is P. ALTERNATIVE READING STATED FAIRLY: a coder who held that standing exercised only through named natural persons is not standing in the entity would code 0, and the evidence for that is preserved here."
OF-XXXX-04,deed_of_settlement_company,AP1,1,high,articulated,"Televantos 2020, 22-23, 145, 165-168",en,ai,partial,none,unreviewed,"The jingle rule. On the partners' bankruptcy the joint estate was administered as a distinct estate and distributed to partnership creditors in priority to each partner's separate creditors (22-23, 145; Ex p Ruffin (1801)). TELEVANTOS'S OWN EVIDENCE, NOT A RESTATEMENT OF HKS: the cell rests on Lord Eldon's judgments, the Bankruptcy Court order books (record class B 1) and Eldon's judicial notebooks. HKS is the frame he argues with, and at 144 he says in terms that Hansmann, Kraakman and Squire 'overlook limitations on partnership law's ability to preserve business assets for business creditors'. ARTICULATED on Lord Eldon's own words in Ex p Ruffin, quoted at 165: the joint creditors 'had clearly no lien whatsoever upon the partnership effects ... the equity is not that of the joint creditors, but that of the partners with regard to each other, that operates to the payment of the partnership debts'. THE PRIORITY IS DERIVATIVE AND DEFEASIBLE: it ran by subrogation to the partners' rights of indemnity and lien, so where the partners voluntarily discharged the lien by transferring the assets to a continuing partner the priority vanished - Ruffin's actual holding (166) - and 'Partnership creditors could thus never be safe from partners, by private agreement, emptying the partnership estate and so rendering their claims worthless' (168). That defeasibility is recorded here and NOT coded, because whether members can strip the pool is AP2's question."
OF-XXXX-05,deed_of_settlement_company,AP2,P,medium,analyst-imposed,"Televantos 2020, 24, 51-52, 148",en,ai,partial,none,unreviewed,"STRUCTURAL HALF. Members' creditors: a separate creditor levying judgment against a partner's share could claim only that partner's right to the residue after the partnership creditors had been paid (148) - shielding present, and by a substantive rule. Members: as a matter of substantive law any partner could dissolve at will (24), which would partition the pool; in practice shareholders 'could not easily use the courts to dissolve or withdraw their capital from such concerns', and 'the difficulty shareholders had in suing such entities de facto acted as a capital lock-in mechanism' (51-52). Televantos states expressly that this was 'a by-product of what was, in effect, a rejection of jurisdiction over such companies, rather than a substantive rule of law' (51), and he rejects Morley's reading of Van Sandau v Moore (1826) as designed to lock capital in (50). WELL-FORMEDNESS FLAG, RAISED AND NOT REPAIRED: AP2 asks two questions - can members force partition, and can their creditors - and this pair of rows separates them. See the compagnie_antwerpen AP2 note: both rows read P and the two P's are not the same state, so this is not agreement."
OF-XXXX-06,deed_of_settlement_company,AP3,0,high,articulated,"Televantos 2020, 44-46, 172",en,ai,partial,none,unreviewed,"Shareholders of a deed-of-settlement company were in law partners of the firm and so 'personally liable without limit for the firm's debts' (44); clauses in the deed purporting to give them limited liability 'were not fully effective', creditors being able to sue shareholders personally unless they had agreed not to (45); and 'the directors and shareholders of such companies were treated as personally liable for the debts of the firm' (172). ARTICULATED on Lord Ellenborough's words in R v Dodd (1808), quoted at 46: 'As to the subscribers themselves, indeed, they may stipulate with each other for this contracted responsibility; but as to the rest of the world it is clear that each partner is liable to the whole amount of the debts contracted by the partnership.' LOCATOR: CF1=P puts the locator on the labour-party, here the directors, and 172 answers for them directly; the cell is unchanged on the members fallback, since shareholder-partners and directors alike were liable without limit. DISAGREEMENT RECORDED, NOT RESOLVED: John Morley argues the trust did give shareholders limited liability; Televantos answers that the argument 'would have surprised contemporaries' (45-46). ONE DATUM, TWO CELLS: the R v Dodd passage carries this cell and LR1."
OF-XXXX-07,deed_of_settlement_company,AP4,.NA,.NA,.NA,.NA,.NA,ai,.NA,none,unreviewed,"No founder. The company was constituted by subscription under a deed of settlement, not by an endowment out of an identifiable founder's patrimony, so the 2026-08-30 AP4 rule returns .NA and not 0. ACQUISITION LEAD RECORDED: the TESTAMENTARY TRADING TRUST, which Televantos treats alongside this form at 53-60, IS founder-endowed - a testator settles trade assets on trustees to carry on his business for his estate - and on Ex p Garland (1804) the corpus available to trade creditors was capped at the sum the will set aside, the rest of the personal estate staying out of reach (56-60). That is a form on which AP4 might take a value other than 1. See the notes file. EMPTY-VALUE DISCLOSURE: the allowed values with no instance in the census were recomputed from vocabularies/organizational_form_characteristic.csv and data.csv on 2026-09-05, AFTER all 64 cells of this batch were written and fixed, and before these notes were finalised. '0' and 'P' have no instance on AP4 anywhere in the census - the state AP4's own vocabulary definition already declares in terms. The computation did not change this cell; the notes file carries the full disclosure and the list."
OF-XXXX-08,deed_of_settlement_company,TS1,P,medium,analyst-imposed,"Televantos 2020, 24, 38, 43-46, 150",en,ai,partial,none,unreviewed,"Default partnership law dissolved the firm on any partner's death, retirement, bankruptcy, or simply at will, and even a new partner joining dissolved the old partnership and joint estate and created a new one (24, 150). Settling the assets on a fixed body of trustees was 'designed to insulate the company from the effect of the rules effecting mandatory partnership dissolution upon any change of partners, which could have been particularly troublesome in concerns with hundreds or even thousands of shareholder-partners' (38). It did not make the company persist as a legal unit - the courts treated these firms as partnerships throughout (43-46), and Chapter 7's Rule IV is that a single business in fact could in law be a succession of separate partnership estates (150) - but it did carry the asset-holding across the change of members. Half-present: the pool survives the member's exit, the entity does not. NOT CODED 1: Televantos nowhere says the device achieved succession. FALSIFICATION RECORDED, AND THE ORDER MATTERS: no form in this census had taken TS1=P before this batch - the coded values were 1, 0 and .NR only. This P was written from Televantos and only afterwards found to be new. The empty-value recompute that established it was run AFTER all 64 cells were fixed; see the notes file."
OF-XXXX-09,deed_of_settlement_company,TS2,.NR,.NR,.NR,.NR,.NR,ai,.NR,none,unreviewed,"Not recorded. Televantos never asks what duration these concerns intended. The design intent at 38 and the practice from 1824 of writing into the articles a promise to seek incorporation by Act (40) both invite 'open', and the cell is left uncoded rather than inferred: the inference would come from general knowledge about banks and insurance offices, not from this source."
OF-XXXX-10,deed_of_settlement_company,TS3,P,medium,analyst-imposed,"Televantos 2020, 24, 51",en,ai,partial,none,unreviewed,"The substantive right survived and the remedy did not. Any partner could dissolve the firm unilaterally at any time (24), and since the courts treated deed-of-settlement companies as partnerships the rule reached them; but Lord Eldon's Chancery would not entertain the suit, so shareholders 'could not easily use the courts to dissolve or withdraw their capital from such concerns' (51). ONE DATUM, THREE CELLS with AP2's second limb and CI2 - the capital-immobility group is collinear on this row by construction, and this row is no evidence that its members separate."
