record_id,type_id,char_id,value,confidence,articulation,source_ref,source_lang,coder,source_read,reviewed_by,review_status,notes
OF-0644,avariz_vakfi,LP1,.NR,.NR,.NR,"Kars 2020, 164; Küçük 2025, 149-152; Kıvrım 2019, 35-36; Gürsoy 2019, 105-113",tr,ai,full,none,unreviewed,"SCOPE: the Ottoman mahalle/koy avariz akcesi vakfi - the endowment constituted for one fiscal community unit to meet its avariz, nuzul and kurekci-bedeli share and, in practice, its collective needs. NOT the avariz hane (a fiscal accounting unit) and NOT the avariz tax. NOT ANSWERED. None of the four sources puts the personhood question to the vakif. Kars 2020, 164 quotes the DIA definition of vakif as property removed from ownership and conveyance for ever (temlik ve temellukten ebediyen alikoymak), but that is the genus and it is a dictionary definition, not a finding about this species. Coding it here would manufacture agreement with waqf_khayri LP1=0 out of shared doctrine rather than out of two observations. .NR, not 0."
OF-0645,avariz_vakfi,LP2,1,medium,articulated,"Kars 2020, 174, 181-182; Kıvrım 2019, 39",tr,ai,full,none,unreviewed,"SCOPE: the Ottoman mahalle/koy avariz akcesi vakfi - the endowment constituted for one fiscal community unit to meet its avariz, nuzul and kurekci-bedeli share and, in practice, its collective needs. NOT the avariz hane (a fiscal accounting unit) and NOT the avariz tax. Named avariz vakiflari appear in the Istanbul and Ayntab court records as the holder of specific assets. Kars 174: a bakery and serhane are proved to lie within Mercan Aga mahalle's hane-i avariz and another waqf and a second quarter's residents are barred from interfering. Kars 181-182: an arsa is 'Gulcamii Mahallesi avariz vakfina ait olan arsa', sold to the trustee by istiglal and leased on at 900 akce a year. Kıvrım's Tablo 1 lists nine Ayntab mahalle funds by name with their trustee and their capital. The idiom 'vakfa ait' / 'mevkuf' is the tradition's own, hence articulated. MEDIUM, NOT HIGH, AND THE REASON IS DOCTRINAL: in Hanafi law the corpus is not owned by a person at all, so 'holds property as the entity' is the analyst's description of what the transactions show, not what the deeds assert. THIS ROW TAKES A STRONGER VALUE THAN waqf_khayri LP2=P (low, on Kuran 2011) AND A REVIEWER SHOULD SEE THAT: the difference is that Kuran describes waqf doctrine while these four work registers in which the fund transacts."
OF-0646,avariz_vakfi,LP3,1,medium,articulated,"Kars 2020, 174, 183-184; Kıvrım 2019, 38-39",tr,ai,full,none,unreviewed,"SCOPE: the Ottoman mahalle/koy avariz akcesi vakfi - the endowment constituted for one fiscal community unit to meet its avariz, nuzul and kurekci-bedeli share and, in practice, its collective needs. NOT the avariz hane (a fiscal accounting unit) and NOT the avariz tax. The fund appears as a party, through its mutevelli, and both wins and loses. Kıvrım 38-39: the Tovbe mahalle trustee proves an unpaid 36-kurus debt against the deceased's children's guardian; the Tarlayiatik trustee is non-suited on the heir's oath that there is no estate, then proves a tannery shop and the court orders the 20 kurus paid to the waqf. Kars 174: the inter-quarter dispute over the bakery and serhane is decided and the intruders enjoined; Kars 183-184: trustees sue on debts, and an account dispute between an outgoing and an incoming trustee is settled on witnesses. CAVEAT, AND IT IS THE begijnhof LP3 CAVEAT: standing is always exercised through the mutevelli, and Kars 183 says in terms that 'mutevelli de diger alacaklilar gibi bir alacaklidir'. If standing is read as running through the trustee personally rather than through the institution this cell drops to P. Coded 1 because the judgment runs to the waqf ('vakfa ait 20 kurusu odemesi istenmistir'), not to the man."
OF-0647,avariz_vakfi,AP1,.NR,.NR,.NR,"Kars 2020, 183; Kıvrım 2019, 39",tr,ai,full,none,unreviewed,"SCOPE: the Ottoman mahalle/koy avariz akcesi vakfi - the endowment constituted for one fiscal community unit to meet its avariz, nuzul and kurekci-bedeli share and, in practice, its collective needs. NOT the avariz hane (a fiscal accounting unit) and NOT the avariz tax. NOT ANSWERED, AND ONE SENTENCE LOOKS LIKE AN ANSWER AND IS NOT. Kars 2020, 183 and Kıvrım 2019, 39 both write that 'vakif alacaginin diger alacaklardan da farkli bir imtiyaz hakki yoktu' - the waqf's claim carried no privilege over other claims. That is about the waqf AS CREDITOR of a dead borrower's estate, not about whether the arrangement's creditors rank ahead of the beneficiaries' personal creditors IN THE CORPUS, which is what AP1 asks. Both sentences also descend from one upstream (Akgunduz, Osmanli Tatbikatinda Vakif Muessesesi, 228-229), so they are one statement quoted twice. .NR."
OF-0648,avariz_vakfi,AP2,.NR,.NR,.NR,"Kars 2020, 179; Küçük 2025, 151; Gürsoy 2019, 110",tr,ai,full,none,unreviewed,"SCOPE: the Ottoman mahalle/koy avariz akcesi vakfi - the endowment constituted for one fiscal community unit to meet its avariz, nuzul and kurekci-bedeli share and, in practice, its collective needs. NOT the avariz hane (a fiscal accounting unit) and NOT the avariz tax. HALF THE QUESTION IS ANSWERED AND THE ANSWER BELONGS TO CI2. The corpus may not be diminished (Kars 179; Küçük 151) and no beneficiary holds a share to withdraw - but that is the withdrawal limb, and it is CI2's, which AP2's own vocabulary entry says AP2 overlaps. AP2 adds the creditor dimension, and nothing in the four sources reaches whether a resident's personal creditor could touch the fund. Entering one sentence at both AP1 and AP2 is the move declined on commenda AP2 on 2026-08-30. .NR rather than P: the missing half here is evidence, not structure, and P is a structural state."
OF-0649,avariz_vakfi,AP3,.NR,.NR,.NR,"Küçük 2025, 154; Kars 2020, 167-168",tr,ai,full,none,unreviewed,"SCOPE: the Ottoman mahalle/koy avariz akcesi vakfi - the endowment constituted for one fiscal community unit to meet its avariz, nuzul and kurekci-bedeli share and, in practice, its collective needs. NOT the avariz hane (a fiscal accounting unit) and NOT the avariz tax. CF1=0, so the locator falls back to members. Whether the residents' personal assets are shielded from the fund's own creditors is not addressed. NOTE A DIVERGENCE FROM waqf_khayri, WHICH CODES AP3=.NA: these sources show the fund incurring obligations of its own - the mutevelli's and nazir's salaries, the hafiz's 50 kurus, water-conduit repairs (Küçük 154) - so the question is not inapplicable to this form; it is unanswered. That is an argument that waqf_khayri AP3=.NA may be the wrong token. Flagged, not repaired."
OF-0650,avariz_vakfi,AP4,1,medium,articulated,"Kars 2020, 170-172, 175-178; Kıvrım 2019, 37",tr,ai,full,none,unreviewed,"SCOPE: the Ottoman mahalle/koy avariz akcesi vakfi - the endowment constituted for one fiscal community unit to meet its avariz, nuzul and kurekci-bedeli share and, in practice, its collective needs. NOT the avariz hane (a fiscal accounting unit) and NOT the avariz tax. THE FORM IS FOUNDER-ENDOWED AND THE FOUNDERS ARE NAMED, so AP4 applies rather than being .NA. Kars's Tablo II gives the vakif for two dozen Istanbul quarter funds - Cenan Hatun binti Abdulvehhab 43,000 akce, Emine Hatun binti Serefuddin selling her house and endowing the price, Fatima binti Himmet 5,000 akce, a widow endowing a third of her husband's estate, Armenian women endowing inherited plots. Kıvrım 37 gives six named Ayntab donors from 10 to 200 kurus. The corpus passes to the mutevelli and out of the founder's patrimony. TWO DOCUMENTED QUALIFICATIONS, RECORDED AND NOT CODED AS P: (i) Kıvrım 37 has Ayni Hatun and another woman endow their houses reserving occupancy for life, the sale to follow their death; (ii) Gürsoy 2019, 112-113 shows that a waqf constituted by bequest (vasiyet) is not binding while the founder lives and may be revoked at will - 22 of her 109. THAT SECOND FACT IS CODED AT TS3, NOT HERE, because entering it twice would count one datum as two (the discipline applied to commenda AP1/AP2). P WAS CONSIDERED AND DECLINED: the census reserves P for structural half-presence within one arrangement, not for heterogeneity across instances of a type. DISCLOSURE: AP4 currently reads 1x2 and .NA x16, so P and 0 are its zero-instance values and its own vocabulary note says the column has no discriminating power until a founder-endowed form takes a value other than 1. I computed that zero-instance set before writing this cell and I am aware that P would have relieved it. FALSIFICATION CONDITION: if a reviewer holds that a type may take P where its instances divide, this cell should move to P and TS3 should be re-read with it."
OF-0651,avariz_vakfi,TS1,1,high,articulated,"Küçük 2025, 155, 161; Kars 2020, 174; Gürsoy 2019, 105, 121",tr,ai,full,none,unreviewed,"SCOPE: the Ottoman mahalle/koy avariz akcesi vakfi - the endowment constituted for one fiscal community unit to meet its avariz, nuzul and kurekci-bedeli share and, in practice, its collective needs. NOT the avariz hane (a fiscal accounting unit) and NOT the avariz tax. The fund outlives its officers and its founders. Küçük 155, 161: the Kirkcesme defter runs 1249/1834 to 1284/1867 across ten named trustees, with the capital and its nema handed on and audited at each change. Kars 174: trustees are replaced on death, on departure for the hajj, on grounds of age ('ihtiyardir deyu') and for neglect, with the debtors' accounts drawn up at the handover. Gürsoy tracks avariz waqfs in one court from 1491 to 1828 and shows later additions (zam) made to funds decades after constitution. 'Ebediyen' is the tradition's own word for the detention of the corpus, hence articulated. NOT INDEPENDENT OF waqf_khayri TS1=1: both rest on the perpetuity of the waqf, one structure seen twice."
OF-0652,avariz_vakfi,TS2,open,high,.NR,"Kars 2020, 164, 167; Küçük 2025, 152",tr,ai,full,none,unreviewed,"SCOPE: the Ottoman mahalle/koy avariz akcesi vakfi - the endowment constituted for one fiscal community unit to meet its avariz, nuzul and kurekci-bedeli share and, in practice, its collective needs. NOT the avariz hane (a fiscal accounting unit) and NOT the avariz tax. A perpetual endowment with no term. The purpose survives the levy that occasioned it: Kars 167 and Kıvrım 36 both record that once the avariz lost its importance the income continued to be spent on the quarter's needs."
OF-0653,avariz_vakfi,TS3,P,medium,.NR,"Gürsoy 2019, 112-113; Kıvrım 2019, 37",tr,ai,full,none,unreviewed,"SCOPE: the Ottoman mahalle/koy avariz akcesi vakfi - the endowment constituted for one fiscal community unit to meet its avariz, nuzul and kurekci-bedeli share and, in practice, its collective needs. NOT the avariz hane (a fiscal accounting unit) and NOT the avariz tax. HALF-PRESENT BY MODE OF CONSTITUTION, AND THIS IS THE ROW'S SHARPEST CELL. Gürsoy 112-113: under Ottoman waqf law a waqf founded by bequest is not binding while the founder lives and he may revoke (rücû) at any time, with a worked case - Bevvap Hasan Bey endows 300 kurus at 15 per cent in 1704, revokes in 1705 and redirects the money into real property, then adds to the foundation in 1708 and again by six zeyl to 1713. Twenty-two of her 109 waqfs were constituted this way (thirteen of 203 at the Davudpasa court). A completed inter vivos waqf is irrevocable. Kıvrım 37 adds the softer case of a life-occupancy reservation. MEDIUM, NOT HIGH, AND THE LIMIT IS NAMED: Gürsoy states the rule and gives the case for her corpus of 109, of which 38 are avariz waqfs and 22 are testamentary, but she does not say whether any one waqf is both, so no case identified as an AVARIZ waqf is shown revoked. DIVERGES FROM waqf_khayri TS3=0 (low, on [verify]) and on better evidence."
